Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[20], FRANGE = (3, 30), QRANGE = (16, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20.0, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-04T01:33:48.920000Z | Window=±20s | Peak=1.0771e+03 | Mean=6.4281e+00
Trigger=2025-02-04T01:34:31.020000Z | Window=±20s | Peak=9.9408e+02 | Mean=8.8126e+00
Trigger=2025-02-04T02:06:18.310000Z | Window=±20s | Peak=3.5380e+02 | Mean=2.4758e+00
Trigger=2025-02-04T03:00:19.740000Z | Window=±20s | Peak=1.3380e+03 | Mean=3.5574e+00
Trigger=2025-02-04T03:00:50.510000Z | Window=±20s | Peak=1.4354e+03 | Mean=8.0995e+00
Trigger=2025-02-04T03:08:25.610000Z | Window=±20s | Peak=4.4714e+02 | Mean=3.0694e+00
Trigger=2025-02-04T03:47:03.730000Z | Window=±20s | Peak=2.5230e+02 | Mean=3.6628e+00
Trigger=2025-02-04T04:30:31.350000Z | Window=±20s | Peak=6.0579e+02 | Mean=7.5257e+00
Trigger=2025-02-04T05:11:07.170000Z | Window=±20s | Peak=6.0210e+02 | Mean=4.0091e+00
Trigger=2025-02-04T05:18:36.170000Z | Window=±20s | Peak=1.0196e+03 | Mean=5.0064e+00
Trigger=2025-02-04T05:33:16.700000Z | Window=±20s | Peak=1.4631e+03 | Mean=6.9474e+00
Trigger=2025-02-04T05:33:27.890000Z | Window=±20s | Peak=1.2773e+03 | Mean=5.2933e+00
Trigger=2025-02-04T05:47:11.010000Z | Window=±20s | Peak=1.3344e+03 | Mean=3.5331e+00
Trigger=2025-02-04T06:03:26.350000Z | Window=±20s | Peak=9.4828e+02 | Mean=7.4473e+00
Trigger=2025-02-04T06:07:11.020000Z | Window=±20s | Peak=4.0069e+02 | Mean=3.9816e+00
Trigger=2025-02-04T06:44:54.700000Z | Window=±20s | Peak=1.1320e+03 | Mean=4.6997e+00
Trigger=2025-02-04T06:50:45.000000Z | Window=±20s | Peak=1.4897e+03 | Mean=4.6722e+00
Trigger=2025-02-04T07:10:00.940000Z | Window=±20s | Peak=4.1960e+02 | Mean=3.7060e+00
Trigger=2025-02-04T07:19:32.560000Z | Window=±20s | Peak=1.7186e+03 | Mean=6.8853e+00
Trigger=2025-02-04T07:23:05.350000Z | Window=±20s | Peak=3.8070e+02 | Mean=3.6493e+00
Trigger=2025-02-04T07:29:28.460000Z | Window=±20s | Peak=5.4820e+02 | Mean=6.2745e+00
Trigger=2025-02-04T07:37:20.790000Z | Window=±20s | Peak=4.5657e+03 | Mean=9.3203e+00
Trigger=2025-02-04T08:16:04.880000Z | Window=±20s | Peak=1.4080e+03 | Mean=4.6146e+00
Trigger=2025-02-04T08:21:57.500000Z | Window=±20s | Peak=4.8183e+02 | Mean=2.5482e+00
Trigger=2025-02-04T08:37:23.890000Z | Window=±20s | Peak=8.0950e+02 | Mean=5.3066e+00
Trigger=2025-02-04T08:51:06.690000Z | Window=±20s | Peak=1.0979e+03 | Mean=3.8904e+00
Trigger=2025-02-04T09:12:34.000000Z | Window=±20s | Peak=1.4542e+03 | Mean=5.3352e+00
Trigger=2025-02-04T09:16:48.680000Z | Window=±20s | Peak=8.3136e+02 | Mean=4.8707e+00
Trigger=2025-02-04T09:30:16.550000Z | Window=±20s | Peak=1.2274e+02 | Mean=2.3791e+00
Trigger=2025-02-04T09:33:07.500000Z | Window=±20s | Peak=8.0440e+02 | Mean=4.6030e+00
Trigger=2025-02-04T09:36:33.660000Z | Window=±20s | Peak=9.3655e+02 | Mean=5.8696e+00
Trigger=2025-02-04T09:36:48.290000Z | Window=±20s | Peak=1.7192e+03 | Mean=6.6904e+00
Trigger=2025-02-04T09:39:56.650000Z | Window=±20s | Peak=3.9208e+02 | Mean=6.4842e+00
Trigger=2025-02-04T09:46:01.380000Z | Window=±20s | Peak=7.0644e+02 | Mean=3.0209e+00
Trigger=2025-02-04T09:51:36.030000Z | Window=±20s | Peak=6.2456e+03 | Mean=1.1884e+01
Trigger=2025-02-04T09:51:48.790000Z | Window=±20s | Peak=3.3328e+03 | Mean=7.9511e+00
Trigger=2025-02-04T10:11:26.090000Z | Window=±20s | Peak=9.3817e+02 | Mean=6.6637e+00
Trigger=2025-02-04T10:24:37.130000Z | Window=±20s | Peak=7.9087e+02 | Mean=3.3999e+00
Trigger=2025-02-04T10:30:16.630000Z | Window=±20s | Peak=1.6063e+03 | Mean=3.9663e+00
Trigger=2025-02-04T10:31:42.680000Z | Window=±20s | Peak=2.2605e+03 | Mean=5.7226e+00
Trigger=2025-02-04T10:37:34.230000Z | Window=±20s | Peak=1.1168e+03 | Mean=4.4342e+00
Trigger=2025-02-04T11:08:36.160000Z | Window=±20s | Peak=4.1534e+02 | Mean=2.8234e+00
Trigger=2025-02-04T11:09:50.360000Z | Window=±20s | Peak=1.3759e+03 | Mean=5.2551e+00
Trigger=2025-02-04T11:27:53.530000Z | Window=±20s | Peak=1.1053e+03 | Mean=5.4281e+00
Trigger=2025-02-04T11:37:42.970000Z | Window=±20s | Peak=1.0218e+03 | Mean=6.4356e+00
Trigger=2025-02-04T11:46:03.640000Z | Window=±20s | Peak=1.8681e+03 | Mean=6.9050e+00
Trigger=2025-02-04T11:54:26.010000Z | Window=±20s | Peak=3.7106e+03 | Mean=8.0742e+00
Trigger=2025-02-04T12:10:42.310000Z | Window=±20s | Peak=8.7313e+02 | Mean=5.3161e+00
Trigger=2025-02-04T12:23:46.770000Z | Window=±20s | Peak=1.2927e+03 | Mean=4.2116e+00
Trigger=2025-02-04T12:39:57.730000Z | Window=±20s | Peak=2.9221e+03 | Mean=9.7686e+00
Trigger=2025-02-04T12:46:55.800000Z | Window=±20s | Peak=6.9048e+02 | Mean=6.1463e+00
Trigger=2025-02-04T13:00:20.260000Z | Window=±20s | Peak=1.3459e+03 | Mean=5.5458e+00
Trigger=2025-02-04T13:20:49.770000Z | Window=±20s | Peak=1.7688e+03 | Mean=4.6524e+00
Trigger=2025-02-04T13:28:06.170000Z | Window=±20s | Peak=1.4193e+03 | Mean=6.3118e+00
Trigger=2025-02-04T13:33:03.010000Z | Window=±20s | Peak=5.9035e+02 | Mean=4.0219e+00
Trigger=2025-02-04T13:40:22.470000Z | Window=±20s | Peak=5.0330e+02 | Mean=3.3679e+00
Trigger=2025-02-04T13:48:56.930000Z | Window=±20s | Peak=3.1910e+03 | Mean=9.6990e+00
Trigger=2025-02-04T14:06:18.520000Z | Window=±20s | Peak=9.6362e+02 | Mean=9.1498e+00
Trigger=2025-02-04T14:25:44.470000Z | Window=±20s | Peak=1.5849e+03 | Mean=9.5522e+00
Trigger=2025-02-04T14:25:56.770000Z | Window=±20s | Peak=7.1908e+02 | Mean=5.5973e+00
Trigger=2025-02-04T14:30:29.910000Z | Window=±20s | Peak=2.5109e+03 | Mean=1.1056e+01
Trigger=2025-02-04T14:38:57.130000Z | Window=±20s | Peak=2.1689e+03 | Mean=7.6046e+00
Trigger=2025-02-04T15:34:17.170000Z | Window=±20s | Peak=2.3494e+02 | Mean=4.7372e+00
Trigger=2025-02-04T16:00:20.230000Z | Window=±20s | Peak=1.9466e+02 | Mean=3.0599e+00
Trigger=2025-02-04T16:09:14.610000Z | Window=±20s | Peak=2.5963e+03 | Mean=6.6845e+00
Trigger=2025-02-04T16:15:10.860000Z | Window=±20s | Peak=5.4937e+02 | Mean=3.1272e+00
Trigger=2025-02-04T16:32:06.620000Z | Window=±20s | Peak=7.3554e+02 | Mean=6.1659e+00
Trigger=2025-02-04T16:46:39.210000Z | Window=±20s | Peak=6.8672e+02 | Mean=3.7726e+00
Trigger=2025-02-04T17:01:42.170000Z | Window=±20s | Peak=1.3565e+03 | Mean=5.1984e+00
Trigger=2025-02-04T17:36:49.170000Z | Window=±20s | Peak=1.6614e+03 | Mean=3.8231e+00
Trigger=2025-02-04T18:36:38.670000Z | Window=±20s | Peak=1.0285e+03 | Mean=2.5747e+00
Trigger=2025-02-04T18:39:07.590000Z | Window=±20s | Peak=1.1568e+03 | Mean=4.7422e+00
Trigger=2025-02-04T19:57:29.670000Z | Window=±20s | Peak=1.8060e+03 | Mean=3.1008e+00
Trigger=2025-02-04T20:47:03.110000Z | Window=±20s | Peak=1.9210e+03 | Mean=3.8929e+00
Trigger=2025-02-04T21:46:41.520000Z | Window=±20s | Peak=4.2003e+02 | Mean=3.2051e+00
Trigger=2025-02-04T22:20:45.800000Z | Window=±20s | Peak=2.6308e+02 | Mean=5.1738e+00
Trigger=2025-02-04T22:40:59.720000Z | Window=±20s | Peak=8.7652e+02 | Mean=2.9543e+00
Trigger=2025-02-05T00:46:50.930000Z | Window=±20s | Peak=1.4948e+03 | Mean=2.9764e+00
Trigger=2025-02-05T02:57:16.590000Z | Window=±20s | Peak=4.2581e+02 | Mean=4.0227e+00
Trigger=2025-02-05T02:57:54.980000Z | Window=±20s | Peak=1.1208e+03 | Mean=8.7393e+00
Trigger=2025-02-05T03:26:33.040000Z | Window=±20s | Peak=9.1669e+02 | Mean=2.8531e+00
Trigger=2025-02-05T04:26:49.940000Z | Window=±20s | Peak=1.1658e+03 | Mean=2.9944e+00
Trigger=2025-02-05T04:34:11.770000Z | Window=±20s | Peak=2.2075e+03 | Mean=1.1934e+01
Trigger=2025-02-05T05:02:04.200000Z | Window=±20s | Peak=3.2059e+03 | Mean=9.8808e+00
