Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (3, 30), QRANGE = (10, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-04T07:37:20.790000Z | Window=±12s | Peak=3.7701e+03 | Mean=1.1169e+01
Trigger=2025-02-04T08:16:04.880000Z | Window=±12s | Peak=1.3397e+03 | Mean=4.4266e+00
Trigger=2025-02-04T08:21:57.500000Z | Window=±12s | Peak=3.0724e+02 | Mean=2.3005e+00
Trigger=2025-02-04T08:37:23.890000Z | Window=±12s | Peak=5.9593e+02 | Mean=5.1290e+00
Trigger=2025-02-04T08:51:06.690000Z | Window=±12s | Peak=8.4342e+02 | Mean=3.8096e+00
Trigger=2025-02-04T09:12:34.000000Z | Window=±12s | Peak=1.8011e+03 | Mean=5.6329e+00
Trigger=2025-02-04T09:16:48.680000Z | Window=±12s | Peak=4.6555e+02 | Mean=4.3941e+00
Trigger=2025-02-04T09:30:16.550000Z | Window=±12s | Peak=9.4702e+01 | Mean=2.2860e+00
Trigger=2025-02-04T09:33:07.500000Z | Window=±12s | Peak=4.3475e+02 | Mean=3.7160e+00
Trigger=2025-02-04T09:36:33.660000Z | Window=±12s | Peak=1.8185e+02 | Mean=2.9813e+00
Trigger=2025-02-04T09:36:48.290000Z | Window=±12s | Peak=9.3989e+02 | Mean=5.0841e+00
Trigger=2025-02-04T09:39:56.650000Z | Window=±12s | Peak=2.3518e+02 | Mean=4.4765e+00
Trigger=2025-02-04T09:46:01.380000Z | Window=±12s | Peak=5.9619e+02 | Mean=3.1026e+00
Trigger=2025-02-04T09:51:36.030000Z | Window=±12s | Peak=6.2465e+02 | Mean=4.3167e+00
Trigger=2025-02-04T09:51:48.790000Z | Window=±12s | Peak=2.6020e+03 | Mean=7.6199e+00
Trigger=2025-02-04T10:11:26.090000Z | Window=±12s | Peak=2.9984e+02 | Mean=3.1949e+00
Trigger=2025-02-04T10:24:37.130000Z | Window=±12s | Peak=8.9158e+02 | Mean=3.4623e+00
Trigger=2025-02-04T10:30:16.630000Z | Window=±12s | Peak=1.4272e+03 | Mean=4.1267e+00
Trigger=2025-02-04T10:31:42.680000Z | Window=±12s | Peak=1.7127e+03 | Mean=5.7833e+00
Trigger=2025-02-04T10:37:34.230000Z | Window=±12s | Peak=3.5381e+02 | Mean=3.7794e+00
Trigger=2025-02-04T11:08:36.160000Z | Window=±12s | Peak=3.9357e+02 | Mean=2.8228e+00
Trigger=2025-02-04T11:09:50.360000Z | Window=±12s | Peak=1.0315e+03 | Mean=5.7715e+00
Trigger=2025-02-04T11:27:53.530000Z | Window=±12s | Peak=7.5473e+02 | Mean=4.0385e+00
Trigger=2025-02-04T11:37:42.970000Z | Window=±12s | Peak=7.9662e+02 | Mean=5.5752e+00
Trigger=2025-02-04T11:46:03.640000Z | Window=±12s | Peak=1.3082e+03 | Mean=5.6778e+00
Trigger=2025-02-04T11:54:26.010000Z | Window=±12s | Peak=2.9725e+03 | Mean=7.5451e+00
Trigger=2025-02-04T12:10:42.310000Z | Window=±12s | Peak=5.8434e+02 | Mean=4.6859e+00
Trigger=2025-02-04T12:23:46.770000Z | Window=±12s | Peak=2.0734e+03 | Mean=4.1186e+00
Trigger=2025-02-04T12:39:57.730000Z | Window=±12s | Peak=1.5591e+03 | Mean=7.1928e+00
Trigger=2025-02-04T12:46:55.800000Z | Window=±12s | Peak=3.5840e+02 | Mean=5.8550e+00
Trigger=2025-02-04T13:00:20.260000Z | Window=±12s | Peak=8.6921e+02 | Mean=5.9122e+00
Trigger=2025-02-04T13:20:49.770000Z | Window=±12s | Peak=8.5806e+02 | Mean=4.8365e+00
Trigger=2025-02-04T13:28:06.170000Z | Window=±12s | Peak=8.3526e+02 | Mean=5.9479e+00
Trigger=2025-02-04T13:33:03.010000Z | Window=±12s | Peak=6.6231e+02 | Mean=3.7530e+00
Trigger=2025-02-04T13:40:22.470000Z | Window=±12s | Peak=3.3434e+02 | Mean=3.3290e+00
Trigger=2025-02-04T13:48:56.930000Z | Window=±12s | Peak=1.8131e+03 | Mean=6.7036e+00
